key,node,demandType,totalLoad
D001,N1,DT1,12845000
D002,N1,DT2,12845000
D003,N2,DT1,44560000
D004,N2,DT2,44560000
D005,N3,DT1,59190000
D006,N3,DT2,59190000
D007,N4,DT1,100735000
D008,N4,DT2,100735000
D009,N5,DT1,48750000
D010,N5,DT2,48750000
D011,N6,DT1,38580000
D012,N6,DT2,38580000
D013,N1,DT3,99999999
