STO,value
0,123.0
1,245.0
2,410.0
3,676.0
4,328.0
5,266.0
6,12779.010850671228
7,12779.010850671228
8,12779.010850671228
9,12779.010850671228
10,12779.010850671228
11,12779.010850671228
