STO,T,value
0,0,420.59476562092306
0,1,489.1401553352254
0,2,552.0967066373265
0,3,611.4095016285144
0,4,667.6520321454059
0,5,721.5405280469677
0,6,773.5870351442201
0,7,824.1593945361536
0,8,873.4953349106099
0,9,922.2199815239137
0,10,970.613752571303
0,11,1018.7958728451179
0,12,1067.0325851170142
0,13,1115.4684137138722
0,14,1164.1794532463157
0,15,1212.5168490545702
0,16,1212.5168490318893
0,17,1212.5168490223377
0,18,1212.5168490240067
0,19,1212.5168490376336
0,20,1212.5168490672586
0,21,1212.5168491250292
0,22,1263.3562303272117
0,23,1321.698514876011
0,24,1382.4850554380596
0,25,1446.39304545123
0,26,1514.551496975357
0,27,1588.8319084187485
0,28,1672.7059354634557
0,29,1773.8031602038118
0,30,1917.3518943261358
0,31,1473.3606819634513
0,32,1158.599353242181
0,33,870.5339528309582
0,34,870.5339525817852
0,35,870.5339524998944
0,36,870.5339524578433
0,37,870.5339524352478
0,38,870.5339524257588
0,39,870.5339524274706
0,40,506.9054663744611
0,41,9.668275326719217e-08
0,42,1.1607237025152556e-07
0,43,1.303854790149061e-07
0,44,1.4173816789521464e-07
0,45,1.392852439621782e-07
0,46,1.2197815663694063e-07
0,47,1.2489969728104588e-07
0,48,1.2355999043161484e-07
0,49,1.1743442375414389e-07
0,50,1.0499026839245801e-07
0,51,8.226688366884123e-08
0,52,540.1421027323089
0,53,540.142102705896
0,54,540.1421026947878
0,55,540.1421026968227
0,56,540.1421027128832
0,57,540.142102747729
0,58,540.1421028156592
0,59,540.1421029766263
0,60,826.1422487015392
0,61,1106.4377059584572
0,62,1389.4918978442558
0,63,1705.579905683903
0,64,1180.497123360812
0,65,647.9305237962757
0,66,2.0281435960721006e-08
0,67,7.735432791930637e-08
0,68,9.529549835186695e-08
0,69,9.488631203886022e-08
0,70,7.485165973962493e-08
0,71,2.1932697734628368e-09
0,72,611.3860934915335
0,73,867.1622647675597
0,74,959.7289018334765
0,75,994.9193722310091
0,76,1011.5477847373902
0,77,1023.7940304130142
0,78,1037.2517395156167
0,79,1048.8773443815162
0,80,1055.7663143746315
0,81,1069.1897951764304
0,82,1090.9930353616087
0,83,1137.0150191416906
0,84,1263.6429515882417
0,85,1599.363715490181
0,86,2047.9999999974427
0,87,2047.9999999375273
0,88,2047.999999994506
0,89,2047.9999998427381
0,90,2047.9999997803723
0,91,2047.9999997418265
0,92,2047.9999997162204
0,93,2047.9999996996048
0,94,2047.9999996901765
0,95,2047.9999996870997
0,96,2047.9999996901263
0,97,2047.9999996995007
0,98,2047.9999997160512
0,99,2047.9999997415714
0,100,2047.999999779981
0,101,2047.9999998420494
0,102,2047.9999999918145
0,103,1693.9541600742077
0,104,1486.9274162339918
0,105,1318.4957083839367
0,106,1169.7940120513695
0,107,1027.6797689471027
0,108,905.1636462121556
0,109,852.3308017273787
0,110,705.7098909414284
0,111,541.919959304327
0,112,342.548760062576
0,113,4.797429919352358e-08
0,114,5.584504866015577e-08
0,115,4.923216634282419e-08
0,116,1.750888308689412e-08
0,117,321.2415402607664
0,118,537.7325111634476
0,119,716.5024333084049
0,120,879.053573026422
0,121,1035.0619341104966
